index,gbifTaxonKey,scientificName,totalImages
212,10772697,"Trichonephila sexpunctata (Giebel, 1867)",20
213,10773731,Calyptranthes ruiziana O.Berg,19
214,10774651,"Eulaema atleticana Nemésio, 2009",20
215,10774780,"Ophiocordyceps camponoti-renggeri Araújo, H.C.Evans & D.P.Hughes",20
216,10774932,"Anthinus multicolor (Rang, 1831)",20
217,10775113,Ouratea dorata L.Marinho & Amorim,15
218,10777367,Ruellia capotyra Braz & I.H.F.Azevedo,11
219,10778233,Omophoita sexnotata,20
220,10779983,Dipteryx odorata (Aubl.) Forsyth f.,20
221,10781996,Ouratea gracilis D.B.O.S.Cardoso & L.Marinho,17
222,10782022,"Anthinus turnix (Gould, 1846)",20
223,10782364,"Boana albomarginata (Spix, 1824)",20
224,10786088,"Habroconus semenlini (S.Moricand, 1846)",20
225,1078808,"Gymnetis pantherina Blanchard, 1842",20
226,1078849,"Gymnetis strigosa (Olivier, 1789)",20
227,1078933,"Gymnetis chalcipes Gory & Percheron, 1833",20
228,1078944,"Gymnetis rufilatris (Illiger, 1800)",20
229,10791273,Chaetogastra rupestris (Cogn.) P.J.F.Guim. & Michelang.,17
230,10791759,"Traumatomutilla guarata Casal, 1969",18
231,10795215,Adenocalymma alboaurantiacum (Faria & Proença) L.H.Fonseca & L.G.Lohmann,20
232,10797599,Passiflora vellozoi Gardner,19
233,10801172,Chamaecrista papillata H.S.Irwin & Barneby,15
234,10802640,"Justicia birae A.S.Reis, F.A.Silva, A.Gil & Kameyama",20
235,10803691,"Traumatomutilla gemella Andre, 1906",17
236,10803860,Trichilia arenaria T.B.Flores & V.C.Souza,13
237,10808208,Pleroma hirsutissimum (Cogn.) P.J.F.Guim. & Michelang.,18
238,10809352,"Boana polytaenia (Cope, 1870)",20
239,10813091,Ruellia taboleirana E.C.O.Chagas & Costa-Lima,12
240,10814591,Tibouchina parviflora Cogn.,13
241,10815512,"Gonogramma lemoulti (Schaus, 1905)",20
242,10816798,"Anthurium marcusianum Theófilo, L.Kollmann & Sakur.",8
243,10818018,Camptosema ellipticum (Desv.) Govaerts,20
244,10818554,"Pseudopaludicola pocoto Magalhães, Loebmann, Kokubum, Haddad & Garda, 2014",19
245,1081867,"Hoplopyga brasiliensis (Gory & Percheron, 1833)",20
246,1081869,"Hoplopyga albiventris (Gory & Percheron, 1833)",9
247,10820310,Behuria glazioviana Cogn.,9
248,10821129,Tibouchina serrana P.J.F.Guim. & A.B.Martins,11
249,10823001,Aniba rosodora Ducke,20
250,10823401,Licania humilis Cham. & Schltdl.,16
251,10824600,Pleroma dubium (Cham.) P.J.F.Guim. & Michelang.,19
252,10824822,"Guyramemua affine (Burmeister, 1856)",20
253,10824865,Tibouchina dusenii Cogn.,19
254,10826348,Pleroma pilosum (Cogn.) P.J.F.Guim. & Michelang.,19
255,10826503,Huberia bradeana Bochorny & R.Goldenb.,17
256,10832488,Dichorisandra striatula Q.S.Moraes & M.Pell.,11
257,10833728,"Rhinella major (Müller & Hellmich, 1936)",20
258,10835831,"Anthurium brigadeiroense Nadruz, Hammes & Temponi",10
259,10836302,Mazacyla lilacina,14
260,10838752,"Pithecopus azureus (Cope, 1862)",20
261,10839141,"Lychnocephalus sellovii (Sch.Bip.) Loeuille, Semir & Pirani",20
262,10842533,"Cyclodontina tudiculata (E.von Martens, 1868)",9
263,10843053,"Mirinaba unidentata (G.B.Sowerby I, 1825)",14
264,10848750,Calyptranthes strigipes O.Berg,20
265,10849986,"Menticirrhus cuiaranensis Marceniuk, Caires, Rotundo, Cerqueira, Siccha-Ramirez, Wosiacki & Oliveira, 2020",6
266,10850556,Bertolonia duasbocaensis Bacci & R.Goldenb.,6
267,10850864,Marsdenia weddellii (E.Fourn.) Malme,18
268,10851155,Tibouchina kleinii Wurdack,15
269,10851985,Pleroma rigidulum (Naudin) P.J.F.Guim. & Michelang.,18
270,10856626,"Helicina wettsteini A.J.Wagner, 1905",12
271,10857143,"Justicia mcdadeana A.S.Reis, A.Gil & Kameyama",20
272,1085766,"Neoathyreus lanuginosus (Klug, 1843)",20
273,10858585,Tibouchina pauloalvinii Vinha,13
274,10860901,Tibouchina marumbiensis Wurdack,12
275,1086392,"Coprophanaeus lancifer (Linnaeus, 1767)",20
276,1086398,"Coprophanaeus dardanus (MacLeay, 1819)",20
277,1086414,"Coprophanaeus spitzi (Pessoa, 1934)",8
278,10864876,"Clathrus natalensis G.S.Medeiros, Melanda, T.S.Cabral, B.D.B.Silva & Baseia",20
279,10866073,Tibouchina divaricata Cogn.,10
280,10867930,Bisglaziovia behurioides Cogn.,11
281,10868085,"Boana guentheri (Boulenger, 1886)",19
282,10869830,"Ipomoea vespertilia F.D.Santos, G.C.Delgado-Junior & Buril",6
283,10870581,Calyptranthes spruceana O.Berg,10
284,10870980,"Boana beckeri (Caramaschi & Cruz, 2004)",8
285,10871821,Pterolepis longistyla Cogn.,17
286,10874094,"Tibouchina saxicola F.S.Mey., P.J.F.Guim. & R.Goldenb.",8
287,1087503,"Phanaeus melibaeus Blanchard, 1845",20
288,1087618,"Chalcocopris hesperus (Olivier, 1789)",20
289,10876717,Behuria limae Brade,7
290,1087819,"Sulcophanaeus menelas (Castelnau, 1840)",20
291,10879415,Guapira darwinii (Hemsl.) E.C.O.Chagas & Costa-Lima,20
292,10879698,"Vates phoenix Rivera, Herculano, Lanna, Cavalcante & Teixeira, 2020",20
293,10880441,Pleroma glutinosum (Markgr.) P.J.F.Guim. & Michelang.,17
294,10883903,"Boana leptolineata (Braun & Braun, 1977)",20
295,10884972,"Anthus chii Vieillot, 1818",20
296,10885993,"Brachycephalus margaritatus Pombal & Izecksohn, 2011",20
297,10886629,"Trichonephila clavipes (Linnaeus, 1767)",20
298,10888356,"Metallactus luniger Suffrian, 1866",18
299,10888740,Pleroma sellowianum (Cham.) P.J.F.Guim. & Michelang.,20
300,10889244,"Microlicia repanda R.B.Pacifico, Almeda & Fidanza",6
301,10892509,Svitramia integerrima R.Romero & A.B.Martins,5
302,10893588,Chaetogastra longipilosa (Cogn.) P.J.F.Guim. & Michelang.,18
303,10895170,"Vanzosaura multiscutata (Amaral, 1933)",20
304,10897999,Tibouchina barnebyana Wurdack,8
305,10901072,"Loriotus cristatus (Linnaeus, 1766)",20
306,10903918,Ctenodon viscidulus (Michx.) D.B.O.S.Cardoso & A.Delgado,20
307,10906904,Betencourtia neesii (DC.) L.P.Queiroz,15
308,10908302,Macropsychanthus megacarpus (Rolfe) L.P.Queiroz & Snak,20
309,10916361,Otacanthus caparaoensis Brade,11
310,10919064,Karawata saxicola (L.B.Sm.) J.R.Maciel & G.M.Sousa,20
311,10919111,Cuphea paralarix (Lourteig) T.B.Cavalc. & S.A.Graham,16
312,10923551,Lippia hirta (Cham.) Meisn. ex D.Dietr.,11
313,1092466,"Digitonthophagus gazella (Fabricius, 1787)",20
314,1092548,"Canthon smaragdulus (Fabricius, 1781)",20
315,10926174,Betencourtia scarlatina (Mart. ex Benth.) L.P.Queiroz,20
316,1092751,"Canthon quinquemaculatus Castelnau, 1840",20
317,10929098,"Neoponera marginata (Roger, 1861)",16
318,1093103,"Dichotomius bos (Blanchard, 1845)",20
319,1093113,"Dichotomius smaragdinus (Perty, 1830)",11
320,1093312,"Deltochilum verruciferum Felsche, 1911",8
321,10936008,"Dallocardia delicatula (E.A.Smith, 1915)",20
322,10941997,"Chionomesa fimbriata (J.F.Gmelin, 1788)",20
323,10942479,Sesamum radiatum Thonn. ex Hornem.,20
324,10942661,Myrcia florifera (Mc Vaugh) Gaem & E.Lucas,20
325,10943931,"Ins minas (Macquart, 1848)",7
326,10944060,Gomesa longicornu (Mutel) M.W.Chase & N.H.Williams,20
327,1094514,"Malagoniella astyanax (Olivier, 1789)",16
328,10948729,Conchocarpus insignis Pirani,11
329,10950218,Cryptanthus zonatus (Lem.) Vis.,20
330,10950634,Matourea ocymoides (Cham. & Schltdl.) Colletta & V.C.Souza,20
331,10952035,"Dendroma erythroptera (P.L.Sclater, 1856)",18
332,10953460,Karawata multiflora (L.B.Sm.) J.R.Maciel & G.M.Sousa,20
333,10961424,Parodia ibicuiensis (Prestlé) Anceschi & Magli,7
334,10965911,Xiquexique gounellei (F.A.C.Weber ex K.Schum.) Lavor & Calvente,20
335,10968316,Palicourea ruelliifolia (Cham. & Schltdl.) Borhidi,20
336,10969345,"Chrysuronia brevirostris (R.Lesson, 1829)",20
337,10973357,"Mimallo amilia Cramer, 1780",20
338,10975899,Aeschynomene vogelii Rudd,12
339,10976384,Dioclea schottii Benth.,18
340,10977812,"Stilpnia preciosa (Cabanis, 1851)",20
341,10982063,"Megasoma vazdemelloi Prandi, 2018",20
342,10983480,Betencourtia stereophylla (Harms) L.P.Queiroz,20
343,10986021,Cladonia confusa R.Sant.,20
344,10992187,"Stilpnia cyanicollis (d'Orbigny & Lafresnaye, 1837)",20
345,10992882,"Ctenodon brevipes (Benth.) D.B.O.S.Cardoso, P.L.R.Moraes & H.C.Lima",20
346,1099330,"Andraegoidus rufipes (Fabricius, 1787)",20
347,10993777,Stachytarpheta chascanoides (Moldenke) P.H.Cardoso,19
348,10994244,Salzmannia plowmanii (Delprete) Paudyal & Delprete,7
349,11005293,Macropsychanthus grandiflorus (Mart. ex Benth.) L.P.Queiroz & Snak,20
350,11008739,Heptapleurum actinophyllum (Endl.) Lowry & G.M.Plunkett,20
351,11010389,Matourea azurea (Linden) Colletta & V.C.Souza,20
352,11011370,BOLD:AAO1611,12
353,11011727,"Saguinus ursula Hoffmannsegg, 1807",20
354,11013835,Taquara micrantha (Kunth) I.L.C.Oliveira & R.P.Oliveira,20
355,11014693,"Cinnagrostis viridiflavescens (Poir.) P.M.Peterson, Soreng, Romasch. & Barberá",20
356,11014956,Psychotria sphaerocephala Müll.Arg.,16
357,11017601,"Panca trogon (Evans, 1955)",18
358,11026882,Adenocalymma albiflorum (Salzm. ex DC.) B.M.Gomes & L.H.Fonseca,19
359,11027113,Chiothion georgina,20
360,11029231,Macropsychanthus violaceus (Mart. ex Benth.) L.P.Queiroz & Snak,20
361,11034325,"Xiphorhynchus atlanticus (Cory, 1916)",20
362,11040407,Pontederia diversifolia (Vahl) M.Pell. & C.N.Horn,20
363,11041822,Sansevieria trifasciata Prain,20
364,11044778,Marasmia cochrusalis,20
365,11050137,Matourea platychila (Radlk.) Colletta & V.C.Souza,18
366,11053537,"Coendou spinosus F.Cuvier, 1823",20
367,11057960,Chrysophyllum imperiale (Linden ex K.Koch & Fintelm.) Benth. ex Salomon,20
368,11060126,"Artonia Grishin, 2019",20
369,11066759,Galactia decumbens (Benth.) Chodat & Hassl.,14
370,11068544,"Limnoctites sulphuriferus (Burmeister, 1869)",19
371,11070437,"Chionomesa lactea (R.Lesson, 1832)",20
372,1107159,"Navosoma luctuosum (Schönherr, 1817)",20
373,11074877,"Piptadenia retusa (Jacq.) P.G.Ribeiro, Seigler & Ebinger",20
374,11079759,"Parrhasius polibetes (Stoll, 1781)",10
375,11082271,Myrcia glomerata (Cambess.) G.P.Burton & E.Lucas,20
376,11084031,Xiquexique tuberculatus (Werderm.) Lavor & Calvente,20
377,11085098,Heliotropium funkiae Feuillet,20
378,11086001,Zephyranthes bifida (Herb.) Nic.García & Meerow,20
379,11087532,"Erythrogonia dorsalis (Signoret, 1853)",20
380,11087931,Betencourtia gracillima (Benth.) L.P.Queiroz,20
381,11089644,Microstachys salicifolia (Mart.) M.J.Silva,15
382,11092931,Palicourea jambosioides (Schltdl.) C.M.Taylor,12
383,11098969,Aechmea depressa L.B.Sm.,20
384,11103039,Palicourea polycephala (Benth.) Delprete & J.H.Kirkbr.,20
385,1110971,"Mionochroma electrinum (Gounelle, 1911)",20
386,11115127,"Aricoris emeryi Callaghan, Lemes & Kaminski, 2020",18
387,11118712,"Mormidea notulifera Stal, 1860",20
388,11119728,Tetrapterys ramiflora A.Juss.,6
389,11120630,"Serracutisoma catarina (Machado, Pinto-da-Rocha & Giaretta, 2001)",20
390,1112517,"Orthomegas similis Gahan, 1894",20
391,11125628,"Jussara avati Kury & Tourinho-Davis, 2003",9
392,1112916,"Chorenta reticulata (Dalman, 1817)",20
393,11130948,"Obama carbayoi (Oliveira & Leal-Zanchet, 2012) Carbayo et al., 2013",15
394,11132480,"Glenopteris hampsoni Barbut, Lalanne-Cassou, Zilli & Thöny, 2020",19
395,11135404,"Sodreana hatschbachi (Soares & Soares, 1946)",6
396,11140405,Niedenzuella lasiandra (A.Juss.) R.F.Almeida,20
397,11145569,"Obama ladislavii (Graff, 1899) Carbayo et al., 2013",20
398,11162771,"Archilestris capnopterus (Wiedemann, 1828)",20
399,11165578,"Nyia proserpina (Wiedemann, 1828)",10
400,11168348,"Obama eudoximariae (Ogren & Kawakatsu, 1990) Carbayo et al., 2013",20
401,11173195,"Atelopus manauensis Jorge, Ferrão & Lima, 2020",20
402,11176874,"Acrogonyleptes pectinifemur (Soares & Soares, 1947)",10
403,11183028,"Cephaloflexa bergi (Graff, 1899) Carbayo & Leal-Zanchet, 2003",20
404,11183549,"Xystus sanguinicollis (E.F.Germar, 1823)",20
405,11187451,"Maiana callidus (Hine, 1914)",5
406,11187551,Allobriquetia spicata (Kunth) Bovini,20
407,11192183,"Pithecopus gonzagai Andrade, Haga, Ferreira, Recco-Pimentel, Toledo & Bruschi, 2020",20
408,11193408,"Obama glieschi (Froehlich, 1959) Carbayo et al., 2013",5
409,11194584,"Cholus parallelogrammus (E.F.Germar, 1823)",20
410,11195554,"Malaveria Viloria & Benmesbah, 2021",20
411,11197560,"Obama itatiayana (Schirch, 1929) Carbayo et al., 2013",7
412,11202420,"Pristocnemus farinosus (Mello-Leitão, 1922)",20
413,11208190,"Phaops thunbergii (Dalman, 1823)",20
414,11212844,"Obama burmeisteri (Schultze, 1856) Carbayo et al., 2013",20
415,1124107,"Thelgetra adusta (Burmeister, 1865)",20
416,11291144,"Paryphthimoides terrestris (Butler, 1867)",20
417,11318031,"Bulimulus tenuissimus (d'Orbigny, 1835)",11
418,11328617,"Meconemus aeneus (Jordan, 1895) , 2004",5
419,11334913,Ethulia conyzoides Lf.,14
420,11342266,"Necrobia rufipes (De Geer, 1775)",11
421,11345373,"Rauenia bonariensis (J.F.Gmelin, 1789)",20
422,11362256,"Nengetus cinereus (Vieillot, 1816)",20
423,11375806,"Prexaspes paulensis (Rehn, 1918)",20
424,11378565,"Actinopus candango Miglio, Pérez-Miles & Bonaldo, 2020",20
425,11379150,"Pseudophasma triangularis Piza, 1979",14
426,11383179,"Lema apicalis Lacordaire, 1845",20
427,11403468,"Vanima palladia (Butler, 1867) Zacca, Casagrande, Mielke, Huertas, Espeland, Freitas, Willmott, Nakahara & Lamas, 2020",20
428,11412126,"Jupunba barnebyana (Iganci & M.P.Lima) M.V.B.Soares, M.P.Morim & Iganci",20
429,11414438,"Maekistocera longipennis (Macquart, 1838)",20
430,11419436,"Macaria paranaria (Schaus, 1897)",8
431,1142033,"Aglaoschema viridipenne (Thomson, 1861)",6
432,11421525,"Discodon tamoio Biffi & Geiser, 2022",6
433,11424477,Nymphaea caatingae C.T.Lima & Giul.,20
434,11426388,Scada karschina karschina,20
